기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2015	성북구	정릉4동	876	3,996	1,592	911	368	2,627	955	402	231	56	38
2015	성북구	길음1동	1,098	3,790	2,374	1,205	592	1,928	1,285	515	377	142	120
2015	성북구	길음2동	1,198	5,112	2,922	1,158	586	2,787	1,630	815	515	352	191
2015	성북구	월곡1동	1,353	5,645	2,887	1,403	581	3,355	1,727	749	532	138	47
2015	성북구	월곡2동	1,606	8,399	4,358	1,746	734	4,669	2,324	1,917	1,262	67	38
2015	성북구	장위1동	1,054	2,734	1,480	1,250	505	946	603	481	321	57	51
2015	성북구	장위2동	1,638	4,952	2,436	1,972	822	1,930	877	984	719	66	18
2015	성북구	장위3동	902	3,880	1,642	993	365	2,123	803	630	435	134	39
2015	성북구	성북동	1,077	5,462	2,796	1,003	476	3,655	1,820	532	323	272	177
2015	성북구	삼선동	1,889	10,767	5,285	1,986	905	6,743	3,150	1,575	905	463	325
2015	성북구	동선동	1,899	10,276	5,458	1,989	896	5,060	2,577	2,829	1,735	398	250
2015	성북구	종암동	2,006	7,243	3,620	2,300	989	3,844	1,972	931	535	168	124
2015	성북구	석관동	2,102	8,937	4,055	2,425	1,004	4,301	1,759	1,774	1,043	437	249
2015	강북구	소계	18,654	69,787	36,203	20,422	8,508	34,695	17,762	8,837	5,412	5,833	4,521
2015	강북구	번1동	1,733	9,093	5,040	1,731	746	3,805	1,852	1,126	569	2,431	1,873
2015	강북구	번2동	650	3,203	1,184	611	172	2,152	711	216	126	224	175
2015	강북구	번3동	866	2,833	1,189	848	241	1,566	657	355	233	64	58
2015	강북구	수유1동	1,462	5,039	2,720	1,650	743	2,782	1,549	449	317	158	111
2015	강북구	수유2동	1,357	4,510	2,399	1,539	651	2,025	1,147	637	410	309	191
2015	강북구	수유3동	2,305	8,887	4,779	2,684	1,208	4,151	2,101	1,051	636	1,001	834
2015	강북구	삼양동	1,159	3,208	1,732	1,238	503	1,534	911	349	246	87	72
2015	강북구	미아동	1,655	6,249	3,543	1,829	784	3,070	1,735	784	505	566	519
2015	강북구	송중동	2,004	7,991	4,385	2,165	878	4,121	2,475	1,301	781	404	251
2015	강북구	송천동	2,188	7,090	3,720	2,474	1,083	3,127	1,627	1,118	703	371	307
2015	강북구	삼각산동	761	2,194	1,308	823	350	1,154	807	173	115	44	36
2015	강북구	우이동	996	4,027	1,523	1,195	536	2,341	725	423	231	68	31
2015	강북구	인수동	1,518	5,463	2,681	1,635	613	2,867	1,465	855	540	106	63
2015	도봉구	소계	18,455	68,669	32,603	19,450	7,446	37,798	18,151	8,890	5,340	2,531	1,666
2015	도봉구	쌍문1동	910	3,888	2,100	932	336	2,204	1,259	729	492	23	13
2015	도봉구	쌍문2동	1,278	5,301	2,762	1,281	534	2,766	1,471	835	517	419	240
2015	도봉구	쌍문3동	960	3,779	1,826	1,084	447	2,151	1,103	454	235	90	41
2015	도봉구	쌍문4동	611	1,892	1,001	639	261	935	516	299	214	19	10
2015	도봉구	방학1동	2,346	10,651	4,863	2,547	1,132	6,810	2,921	971	617	323	193
2015	도봉구	방학2동	1,222	2,929	1,440	1,396	547	991	624	497	256	45	13
2015	도봉구	방학3동	863	2,984	1,496	900	308	1,780	974	229	163	75	51
2015	도봉구	창1동	1,361	3,672	1,897	1,375	443	1,703	1,020	401	259	193	175
2015	도봉구	창2동	1,368	4,278	1,987	1,521	584	2,332	1,166	364	218	61	19
2015	도봉구	창3동	961	2,027	1,071	1,105	453	713	478	176	115	33	25
2015	도봉구	창4동	1,293	7,590	3,767	1,204	471	4,304	1,967	1,329	690	753	639
2015	도봉구	창5동	2,150	7,136	3,261	2,160	601	3,942	1,946	830	560	204	154
2015	도봉구	도봉1동	1,673	5,804	2,403	1,815	748	3,205	1,175	646	425	138	55
2015	도봉구	도봉2동	1,459	6,738	2,729	1,491	581	3,962	1,531	1,130	579	155	38
2015	노원구	소계	25,827	114,736	59,646	26,777	10,839	65,473	33,820	16,056	10,255	6,430	4,732
