기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2014	서대문구	천연동	872	2,577	1,382	937	447	1,357	727	244	183	39	25
2014	서대문구	홍제1동	1,132	4,276	2,304	1,157	522	1,945	1,128	661	300	513	354
2014	서대문구	홍제3동	1,279	3,978	2,139	1,383	651	1,840	982	662	437	93	69
2014	서대문구	홍제2동	565	1,652	833	546	278	823	349	218	158	65	48
2014	서대문구	홍은1동	992	2,441	1,237	1,091	473	1,135	610	165	111	50	43
2014	서대문구	홍은2동	1,134	5,947	2,756	1,209	480	3,608	1,727	890	511	240	38
2014	서대문구	남가좌1동	628	1,370	819	729	405	442	276	149	106	50	32
2014	서대문구	남가좌2동	1,487	4,246	2,042	1,675	714	1,754	894	712	360	105	74
2014	서대문구	북가좌1동	541	2,404	894	540	163	1,360	542	343	167	161	22
2014	서대문구	북가좌2동	2,224	6,626	2,800	2,379	748	2,323	1,040	1,578	880	346	132
2014	서대문구	충현동	1,826	21,367	8,597	1,311	586	17,253	6,423	1,445	677	1,358	911
2014	서대문구	북아현동	699	1,961	970	796	327	1,021	570	111	60	33	13
2014	서대문구	신촌동	3,877	32,934	18,977	3,881	1,884	20,927	12,360	7,413	4,222	713	511
2014	서대문구	연희동	2,198	10,384	4,589	2,121	890	6,791	2,997	1,295	565	177	137
2014	마포구	소계	35,070	227,966	101,662	28,708	11,968	159,419	68,194	29,250	15,157	10,589	6,343
2014	마포구	용강동	2,620	16,683	6,601	1,524	636	11,882	4,693	2,723	960	554	312
2014	마포구	대흥동	1,656	10,673	5,207	1,535	637	6,495	3,192	1,656	730	987	648
2014	마포구	염리동	783	4,876	2,083	725	338	3,771	1,593	315	109	65	43
2014	마포구	신수동	1,468	6,454	2,988	1,345	399	3,793	1,753	459	222	857	614
2014	마포구	서교동	9,033	54,723	27,167	6,950	2,871	34,259	16,538	10,775	6,000	2,739	1,758
2014	마포구	합정동	1,987	10,375	4,771	1,555	628	7,260	3,158	984	647	576	338
2014	마포구	망원1동	1,397	4,926	2,531	1,430	585	2,769	1,572	614	313	113	61
2014	마포구	망원2동	1,380	4,265	1,762	1,349	569	2,239	946	345	162	332	85
2014	마포구	연남동	1,313	5,315	2,282	1,189	487	2,991	1,382	1,008	332	127	81
2014	마포구	성산1동	1,543	9,921	3,420	1,100	355	7,937	2,554	742	415	142	96
2014	마포구	성산2동	1,760	9,355	4,381	1,622	672	6,321	2,894	1,371	778	41	37
2014	마포구	상암동	2,033	31,734	11,264	1,464	699	28,439	9,454	1,455	966	376	145
2014	마포구	도화동	1,975	15,214	7,245	1,482	674	11,215	5,198	1,440	714	1,077	659
2014	마포구	서강동	1,612	10,471	5,080	1,393	561	6,732	3,167	1,970	1,115	376	237
2014	마포구	공덕동	2,740	19,854	9,194	2,557	1,121	13,281	6,210	2,521	1,127	1,495	736
2014	마포구	아현동	1,770	13,127	5,686	1,488	736	10,035	3,890	872	567	732	493
2014	양천구	소계	26,189	114,617	53,023	25,865	10,784	66,896	30,540	15,376	7,740	6,480	3,959
2014	양천구	목1동	2,917	21,221	9,867	2,166	1,074	14,738	6,076	2,871	1,692	1,446	1,025
2014	양천구	목2동	1,151	4,005	1,895	1,180	515	2,050	1,008	598	258	177	114
2014	양천구	목3동	1,240	4,149	2,281	1,303	615	2,243	1,313	505	275	98	78
2014	양천구	목4동	1,351	3,942	2,085	1,474	699	1,666	927	470	238	332	221
2014	양천구	신월1동	1,802	5,152	2,264	2,067	885	2,107	813	803	457	175	109
2014	양천구	신월2동	1,174	3,846	1,696	1,197	433	2,068	974	459	198	122	91
2014	양천구	신월3동	969	4,143	1,650	950	351	2,469	970	477	291	247	38
