날짜,구,검색지수
201702,도봉구,0.23
201702,동대문구,5.23
201702,동작구,0.37
201702,마포구,8.04
201702,서대문구,2.02
201702,서초구,2.38
201702,성동구,0.01
201702,성북구,0.21
201702,송파구,2.83
201702,양천구,1.25
201702,영등포구,3.78
201702,용산구,7.35
201702,은평구,0.35
201702,종로구,1.49
201702,중구,0.94
201702,중랑구,0.04
201703,강남구,11.52
201703,강동구,1.34
201703,강북구,1.81
201703,강서구,0.70
201703,관악구,0.63
201703,광진구,0.07
201703,구로구,2.13
201703,금천구,0.06
201703,노원구,2.31
201703,도봉구,0.20
201703,동대문구,3.86
201703,동작구,0.26
201703,마포구,7.42
201703,서대문구,2.14
201703,서초구,2.10
201703,성동구,0.01
201703,성북구,0.22
201703,송파구,2.57
201703,양천구,1.40
201703,영등포구,3.34
201703,용산구,7.44
201703,은평구,0.46
201703,종로구,1.22
201703,중구,0.86
201703,중랑구,0.01
201704,강남구,12.42
201704,강동구,1.44
201704,강북구,2.44
201704,강서구,0.71
201704,관악구,0.64
201704,광진구,0.01
201704,구로구,2.03
201704,금천구,0.11
201704,노원구,1.89
201704,도봉구,0.11
201704,동대문구,3.67
201704,동작구,0.36
201704,마포구,7.26
201704,서대문구,2.02
201704,서초구,2.31
201704,성동구,0.03
201704,성북구,0.17
201704,송파구,2.61
201704,양천구,1.30
201704,영등포구,4.02
201704,용산구,9.49
201704,은평구,0.33
201704,종로구,1.16
201704,중구,0.91
201704,중랑구,0.02
201705,강남구,12.07
201705,강동구,1.72
201705,강북구,2.14
201705,강서구,0.98
201705,관악구,0.61
201705,광진구,0.04
201705,구로구,2.40
201705,금천구,0.10
201705,노원구,2.33
201705,도봉구,0.16
201705,동대문구,3.66
201705,동작구,0.48
201705,마포구,8.15
201705,서대문구,2.08
201705,서초구,2.54
201705,성동구,0.06
201705,성북구,0.29
201705,송파구,3.03
201705,양천구,1.50
201705,영등포구,5.61
201705,용산구,11.10
201705,은평구,0.32
201705,종로구,1.36
201705,중구,0.91
201705,중랑구,0.02
201706,강남구,15.89
201706,강동구,2.04
201706,강북구,2.29
201706,강서구,1.11
201706,관악구,0.72
201706,광진구,0.00
201706,구로구,2.83
201706,금천구,0.20
201706,노원구,2.88
201706,도봉구,0.43
201706,동대문구,4.06
201706,동작구,0.42
201706,마포구,8.15
201706,서대문구,2.22
201706,서초구,2.53
201706,성동구,0.06
201706,성북구,0.28
201706,송파구,3.39
201706,양천구,2.46
201706,영등포구,6.04
201706,용산구,12.09
201706,은평구,0.45
201706,종로구,1.42
201706,중구,0.81
201706,중랑구,0.05
201707,강남구,19.27
201707,강동구,1.98
201707,강북구,2.19
201707,강서구,0.90
201707,관악구,0.67
201707,광진구,0.03
201707,구로구,3.31
201707,금천구,0.19
201707,노원구,3.48
201707,도봉구,0.33
201707,동대문구,3.29
201707,동작구,0.51
201707,마포구,8.53
201707,서대문구,2.75
201707,서초구,2.89
201707,성동구,0.04
201707,성북구,0.21
201707,송파구,3.77
201707,양천구,1.55
201707,영등포구,7.69
201707,용산구,12.33
201707,은평구,0.68
201707,종로구,1.45
201707,중구,1.10
201707,중랑구,0.02
201708,강남구,23.14
201708,강동구,1.99
201708,강북구,2.13
201708,강서구,0.93
201708,관악구,0.76
201708,광진구,0.02
201708,구로구,3.16
201708,금천구,0.22
201708,노원구,4.90
201708,도봉구,0.35
201708,동대문구,5.13
201708,동작구,0.48
201708,마포구,9.06
201708,서대문구,2.23
201708,서초구,3.22
201708,성동구,0.03
201708,성북구,0.35
201708,송파구,3.63
201708,양천구,1.53
201708,영등포구,6.81
201708,용산구,11.13
201708,은평구,0.63
201708,종로구,1.52
201708,중구,1.09
201708,중랑구,0.07
201709,강남구,16.46
201709,강동구,1.43
201709,강북구,1.54
201709,강서구,0.72
201709,관악구,0.82
201709,광진구,0.03
201709,구로구,2.73
201709,금천구,0.08
201709,노원구,2.90
201709,도봉구,0.16
201709,동대문구,4.89
201709,동작구,0.35
201709,마포구,7.25
201709,서대문구,3.02
201709,서초구,2.99
201709,성동구,0.01
201709,성북구,0.21
201709,송파구,3.09
201709,양천구,1.55
201709,영등포구,6.77
201709,용산구,10.31
201709,은평구,0.30
201709,종로구,1.21
201709,중구,0.96
201709,중랑구,0.06
201710,강남구,17.36
201710,강동구,1.53
201710,강북구,1.45
201710,강서구,0.71
201710,관악구,0.76
201710,광진구,0.02
201710,구로구,3.25
201710,금천구,0.12
201710,노원구,2.77
201710,도봉구,0.25
201710,동대문구,7.41
201710,동작구,0.41
201710,마포구,7.79
201710,서대문구,3.49
201710,서초구,2.86
201710,성동구,0.02
201710,성북구,0.22
201710,송파구,3.70
201710,양천구,1.31
201710,영등포구,7.19
201710,용산구,12.18
201710,은평구,0.36
201710,종로구,1.39
201710,중구,0.84
201710,중랑구,0.07
201711,강남구,16.47
201711,강동구,1.45
201711,강북구,1.58
201711,강서구,0.62
201711,관악구,0.80
201711,광진구,0.02
201711,구로구,3.21
201711,금천구,0.14
201711,노원구,2.81
201711,도봉구,0.10
201711,동대문구,3.46
201711,동작구,0.47
201711,마포구,7.59
201711,서대문구,2.22
201711,서초구,3.14
201711,성동구,0.06
201711,성북구,0.11
201711,송파구,3.93
201711,양천구,1.59
201711,영등포구,5.18
201711,용산구,12.99
201711,은평구,0.52
201711,종로구,1.50
201711,중구,0.94
201711,중랑구,0.04
201712,강남구,24.48
201712,강동구,1.50
201712,강북구,1.59
201712,강서구,0.73
201712,관악구,0.79
201712,광진구,0.05
201712,구로구,2.46
201712,금천구,0.21
201712,노원구,2.61
201712,도봉구,0.12
201712,동대문구,2.84
201712,동작구,0.48
201712,마포구,8.34
201712,서대문구,2.05
201712,서초구,3.05
201712,성동구,0.02
201712,성북구,0.10
201712,송파구,4.27
201712,양천구,1.51
201712,영등포구,4.38
201712,용산구,14.59
201712,은평구,0.54
201712,종로구,1.42
201712,중구,1.00
201712,중랑구,0.01
201801,강남구,45.74
201801,강동구,2.52
201801,강북구,3.72
201801,강서구,1.03
201801,관악구,1.05
201801,광진구,0.04
201801,구로구,3.34
201801,금천구,0.14
201801,노원구,4.02
201801,도봉구,0.31
201801,동대문구,4.24
201801,동작구,0.72
201801,마포구,11.40
201801,서대문구,2.79
201801,서초구,4.23
201801,성동구,0.05
201801,성북구,0.33
201801,송파구,7.78
201801,양천구,1.67
201801,영등포구,6.76
201801,용산구,25.22
201801,은평구,0.99
201801,종로구,2.13
201801,중구,1.48
201801,중랑구,0.04
201802,강남구,50.09
201802,강동구,2.48
201802,강북구,3.35
201802,강서구,0.98
201802,관악구,1.13
201802,광진구,0.05
201802,구로구,3.19
201802,금천구,0.22
201802,노원구,5.91
201802,도봉구,0.27
201802,동대문구,3.81
201802,동작구,0.57
201802,마포구,10.81
201802,서대문구,2.67
201802,서초구,3.51
201802,성동구,0.11
201802,성북구,0.33
201802,송파구,6.29
201802,양천구,1.59
201802,영등포구,8.21
201802,용산구,18.88
201802,은평구,0.89
201802,종로구,1.67
201802,중구,1.31
201802,중랑구,0.09
201803,강남구,27.50
201803,강동구,2.23
201803,강북구,2.57
201803,강서구,0.93
201803,관악구,1.11
201803,광진구,0.02
201803,구로구,3.34
201803,금천구,0.18
201803,노원구,5.27
