연도,구,분류,입주량
22,마포구,수요,1875
13,양천구,수요,2736
14,양천구,수요,2680
15,양천구,수요,2626
16,양천구,수요,2557
17,양천구,수요,2464
18,양천구,수요,2386
19,양천구,수요,2327
20,양천구,수요,2317
21,양천구,수요,2312
22,양천구,수요,2308
13,강서구,수요,3161
14,강서구,수요,3225
15,강서구,수요,3192
16,강서구,수요,3187
17,강서구,수요,3147
18,강서구,수요,3068
19,강서구,수요,3005
20,강서구,수요,2992
21,강서구,수요,2986
22,강서구,수요,2980
13,구로구,수요,2360
14,구로구,수요,2347
15,구로구,수요,2287
16,구로구,수요,2235
17,구로구,수요,2148
18,구로구,수요,2079
19,구로구,수요,2058
20,구로구,수요,2050
21,구로구,수요,2045
22,구로구,수요,2042
13,금천구,수요,1339
14,금천구,수요,1314
15,금천구,수요,1280
16,금천구,수요,1260
17,금천구,수요,1230
18,금천구,수요,1202
19,금천구,수요,1181
20,금천구,수요,1176
21,금천구,수요,1174
22,금천구,수요,1171
13,영등포구,수요,2147
14,영등포구,수요,2107
15,영등포구,수요,2051
16,영등포구,수요,1983
17,영등포구,수요,1927
18,영등포구,수요,1890
19,영등포구,수요,1864
20,영등포구,수요,1857
21,영등포구,수요,1853
22,영등포구,수요,1849
13,동작구,수요,2282
14,동작구,수요,2246
15,동작구,수요,2171
16,동작구,수요,2146
17,동작구,수요,2072
18,동작구,수요,2036
19,동작구,수요,2012
20,동작구,수요,2004
21,동작구,수요,2000
22,동작구,수요,1996
13,관악구,수요,2877
14,관악구,수요,2829
15,관악구,수요,2762
16,관악구,수요,2712
17,관악구,수요,2632
18,관악구,수요,2580
19,관악구,수요,2541
20,관악구,수요,2530
21,관악구,수요,2525
22,관악구,수요,2520
13,서초구,수요,2454
14,서초구,수요,2479
15,서초구,수요,2421
16,서초구,수요,2393
17,서초구,수요,2307
18,서초구,수요,2230
19,서초구,수요,2181
20,서초구,수요,2172
21,서초구,수요,2168
22,서초구,수요,2163
13,강남구,수요,3130
14,강남구,수요,3187
15,강남구,수요,3124
16,강남구,수요,3035
17,강남구,수요,2909
18,강남구,수요,2788
19,강남구,수요,2753
20,강남구,수요,2742
21,강남구,수요,2736
22,강남구,수요,2731
13,송파구,수요,3713
14,송파구,수요,3664
15,송파구,수요,3578
16,송파구,수요,3520
17,송파구,수요,3475
18,송파구,수요,3426
19,송파구,수요,3429
20,송파구,수요,3414
21,송파구,수요,3407
22,송파구,수요,3400
13,강동구,수요,2685
14,강동구,수요,2627
15,강동구,수요,2485
16,강동구,수요,2377
17,강동구,수요,2281
18,강동구,수요,2198
19,강동구,수요,2157
20,강동구,수요,2148
21,강동구,수요,2143
22,강동구,수요,20139
