날짜,구,지수
20180612,용산구,9.91
20180613,용산구,11.83
20180614,용산구,10.90
20180615,용산구,10.22
20180616,용산구,8.25
20180617,용산구,12.51
20180618,용산구,11.31
20180619,용산구,11.36
20180620,용산구,10.38
20180621,용산구,11.26
20180622,용산구,17.38
20180623,용산구,12.30
20180624,용산구,12.25
20180625,용산구,14.37
20180626,용산구,13.13
20180627,용산구,11.11
20180628,용산구,9.34
20180629,용산구,13.03
20180630,용산구,14.22
20180701,용산구,14.74
20180702,용산구,13.28
20180703,용산구,12.51
20180704,용산구,12.04
20180705,용산구,14.95
20180706,용산구,12.56
20180707,용산구,12.66
20180708,용산구,14.58
20180709,용산구,15.46
20180710,용산구,17.49
20180711,용산구,14.74
20180712,용산구,14.58
20180713,용산구,13.28
20180714,용산구,15.20
20180715,용산구,15.93
20180716,용산구,15.41
20180717,용산구,13.54
20180718,용산구,16.29
20180719,용산구,20.24
20180720,용산구,15.93
20180721,용산구,15.98
20180722,용산구,18.11
20180723,용산구,16.09
20180724,용산구,21.95
20180725,용산구,15.88
20180726,용산구,15.26
20180727,용산구,14.22
20180728,용산구,17.13
20180729,용산구,15.78
20180730,용산구,16.66
20180731,용산구,19.93
20180801,용산구,15.88
20180802,용산구,14.58
20180803,용산구,14.79
20180804,용산구,15.78
20180805,용산구,16.87
20180806,용산구,19.41
20180807,용산구,22.31
20180808,용산구,16.45
20180809,용산구,18.73
20180810,용산구,17.49
20180811,용산구,16.92
20180812,용산구,19.20
20180813,용산구,18.01
20180814,용산구,20.60
20180815,용산구,31.86
20180816,용산구,29.32
20180817,용산구,23.82
20180818,용산구,23.51
20180819,용산구,30.57
20180820,용산구,26.67
20180821,용산구,23.56
20180822,용산구,23.14
20180823,용산구,20.86
20180824,용산구,25.01
20180825,용산구,22.47
20180826,용산구,41.83
20180827,용산구,44.06
20180828,용산구,30.10
20180829,용산구,21.28
20180830,용산구,19.56
20180831,용산구,32.85
20180901,용산구,22.26
20180902,용산구,19.62
20180903,용산구,36.27
20180904,용산구,27.50
20180905,용산구,25.01
20180906,용산구,20.34
20180907,용산구,19.30
20180908,용산구,19.20
20180909,용산구,23.56
20180910,용산구,20.19
20180911,용산구,17.59
20180912,용산구,17.23
20180913,용산구,14.22
20180914,용산구,13.75
20180915,용산구,13.86
20180916,용산구,17.02
20180917,용산구,13.70
20180918,용산구,12.51
20180919,용산구,15.26
20180920,용산구,14.12
20180921,용산구,11.94
20180922,용산구,12.97
20180923,용산구,10.53
20180924,용산구,15.52
20180925,용산구,16.55
20180926,용산구,16.45
20180927,용산구,14.89
20180928,용산구,14.06
20180929,용산구,15.78
20180930,용산구,14.89
20181001,용산구,13.28
20181002,용산구,14.37
20181003,용산구,14.27
20181004,용산구,12.92
20181005,용산구,12.30
20181006,용산구,13.13
20181007,용산구,14.63
20181008,용산구,12.71
20181009,용산구,14.53
20181010,용산구,11.88
20181011,용산구,10.95
20181012,용산구,15.15
20181013,용산구,15.15
20181014,용산구,11.47
20181015,용산구,12.97
20181016,용산구,11.21
20181017,용산구,9.03
20181018,용산구,12.92
20181019,용산구,11.21
20181020,용산구,10.59
20181021,용산구,12.71
20181022,용산구,12.25
20181023,용산구,11.31
20181024,용산구,10.85
20181025,용산구,9.96
20181026,용산구,9.50
20181027,용산구,12.56
20181028,용산구,11.62
20181029,용산구,11.11
20181030,용산구,10.74
20181031,용산구,9.60
20181101,용산구,14.06
20181102,용산구,18.73
