기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2016	노원구	하계1동	1,023	7,727	3,984	947	425	5,819	2,926	719	470	242	163
2016	노원구	하계2동	387	1,248	695	423	150	630	434	174	96	21	15
2016	노원구	중계본동	1,184	5,296	2,671	1,208	530	2,875	1,455	717	412	496	274
2016	노원구	중계1동	951	4,219	2,299	962	427	1,931	1,150	739	411	587	311
2016	노원구	중계4동	1,044	3,766	2,108	1,143	509	2,277	1,354	286	194	60	51
2016	노원구	상계1동	3,133	10,559	4,367	3,181	902	4,794	2,232	2,086	867	498	366
2016	노원구	상계2동	2,459	9,991	5,932	2,556	1,208	5,050	3,161	2,022	1,274	363	289
2016	노원구	상계5동	1,568	4,708	2,636	1,619	729	2,325	1,462	597	378	167	67
2016	노원구	상계8동	577	1,935	1,190	624	258	1,043	742	256	186	12	4
2016	노원구	상계9동	721	2,519	1,437	750	311	1,325	803	359	247	85	76
2016	노원구	상계10동	469	2,191	910	465	164	1,451	566	195	136	80	44
2016	노원구	상계3.4동	1,434	4,495	2,013	1,474	584	2,616	1,178	363	238	42	13
2016	노원구	상계6.7동	1,910	14,943	9,344	1,790	779	9,168	5,511	1,241	834	2,744	2,220
2016	노원구	중계2.3동	1,360	5,472	3,300	1,336	642	3,130	1,941	952	677	54	40
2016	노원구	공릉1동	2,776	11,472	5,526	2,721	1,043	6,724	3,139	1,653	1,006	374	338
2016	은평구	소계	24,615	90,203	47,271	25,353	10,714	46,573	25,278	13,022	7,393	5,255	3,886
2016	은평구	녹번동	1,900	9,821	5,017	1,756	656	6,498	3,474	1,091	540	476	347
2016	은평구	불광1동	1,640	6,326	3,812	1,684	781	2,950	1,707	827	560	865	764
2016	은평구	갈현1동	1,419	4,944	2,796	1,578	683	1,895	1,113	747	405	724	595
2016	은평구	갈현2동	1,594	6,148	3,553	1,727	780	2,598	1,560	1,475	937	348	276
2016	은평구	구산동	1,209	5,252	2,888	1,192	444	3,264	1,871	654	461	142	112
2016	은평구	대조동	2,553	8,019	4,527	2,756	1,357	3,642	2,074	1,185	775	436	321
2016	은평구	응암1동	1,680	7,696	4,062	1,669	746	4,073	2,347	1,623	680	331	289
2016	은평구	응암2동	610	1,823	1,065	662	307	942	641	212	114	7	3
2016	은평구	신사1동	1,290	3,909	1,904	1,335	552	1,766	899	680	351	128	102
2016	은평구	신사2동	1,639	3,686	1,347	1,612	300	1,568	719	406	231	100	97
2016	은평구	증산동	1,130	4,192	1,796	1,130	470	2,136	965	418	231	508	130
2016	은평구	수색동	727	2,695	934	745	317	1,759	529	164	78	27	10
2016	은평구	진관동	1,539	8,504	4,442	1,389	633	5,501	2,781	1,395	883	219	145
2016	은평구	불광2동	1,347	4,290	2,433	1,448	672	2,039	1,181	399	236	404	344
2016	은평구	응암3동	1,815	4,965	2,780	2,038	926	2,181	1,369	600	368	146	117
2016	은평구	역촌동	2,523	7,933	3,915	2,632	1,090	3,761	2,048	1,146	543	394	234
2016	서대문구	소계	19,540	113,979	57,022	19,502	8,279	70,909	36,469	18,606	9,933	4,962	2,341
2016	서대문구	천연동	922	2,835	1,485	970	459	1,472	777	367	234	26	15
2016	서대문구	홍제1동	1,119	4,489	2,319	1,119	507	1,999	1,166	941	381	430	265
2016	서대문구	홍제3동	1,255	3,790	2,006	1,361	636	1,794	986	558	336	77	48
2016	서대문구	홍제2동	590	1,677	895	602	297	709	372	361	224	5	2
2016	서대문구	홍은1동	981	2,470	1,272	1,041	449	1,078	619	241	144	110	60
2016	서대문구	홍은2동	1,168	5,372	2,438	1,235	464	3,457	1,593	496	303	184	78
2016	서대문구	남가좌1동	733	2,047	1,288	829	433	822	525	239	181	157	149
2016	서대문구	남가좌2동	1,308	4,207	2,012	1,392	592	2,034	1,043	693	340	88	37
2016	서대문구	북가좌1동	642	3,126	1,218	628	223	1,799	750	401	225	298	20
2016	서대문구	북가좌2동	2,330	7,183	3,334	2,541	772	2,612	1,132	1,865	1,344	165	86
2016	서대문구	충현동	1,812	25,628	10,109	1,297	569	19,194	7,656	2,670	907	2,467	977
2016	서대문구	북아현동	790	2,099	1,065	900	384	912	507	228	142	59	32
2016	서대문구	신촌동	3,642	37,929	22,571	3,375	1,557	26,051	16,103	7,819	4,482	684	429
2016	서대문구	연희동	2,248	11,127	5,010	2,212	937	6,976	3,240	1,727	690	212	143
2016	마포구	소계	36,191	250,605	112,915	29,705	12,513	175,428	77,693	31,376	15,785	14,096	6,924
2016	마포구	용강동	2,608	19,216	7,889	1,637	720	14,315	6,016	2,729	916	535	237
2016	마포구	대흥동	1,583	9,646	5,130	1,395	595	5,665	2,846	1,567	938	1,019	751
2016	마포구	염리동	720	3,618	1,763	668	319	2,608	1,259	291	162	51	23
2016	마포구	신수동	1,174	5,334	2,426	1,044	369	3,719	1,784	439	235	132	38
2016	마포구	서교동	9,536	62,203	31,051	7,402	3,067	40,836	19,614	10,654	5,922	3,311	2,448
2016	마포구	합정동	2,049	14,716	5,964	1,591	635	8,567	3,931	1,668	489	2,890	909
2016	마포구	망원1동	1,771	4,705	1,844	1,855	632	2,360	985	320	169	170	58
2016	마포구	망원2동	1,362	5,226	2,166	1,453	633	2,286	1,075	840	357	647	101
2016	마포구	연남동	1,506	5,926	2,744	1,339	580	3,454	1,685	1,042	407	91	72
2016	마포구	성산1동	1,539	11,078	3,629	1,103	405	8,493	2,709	1,099	416	383	99
2016	마포구	성산2동	1,782	11,771	5,716	1,623	681	8,761	4,398	1,215	584	172	53
2016	마포구	상암동	2,341	38,152	14,657	1,645	758	33,135	11,995	2,288	1,471	1,084	433
2016	마포구	도화동	2,012	15,583	7,880	1,509	683	11,593	5,831	2,040	1,082	441	284
2016	마포구	서강동	1,699	11,958	6,098	1,480	609	7,406	3,816	1,120	676	1,952	997
2016	마포구	공덕동	2,764	18,875	8,757	2,530	1,128	12,350	5,948	2,983	1,408	1,012	273
2016	마포구	아현동	1,745	12,598	5,201	1,431	699	9,880	3,801	1,081	553	206	148
2016	양천구	소계	26,108	117,259	54,186	25,798	10,772	66,669	31,125	17,588	8,234	7,204	4,055
2016	양천구	목1동	2,943	20,725	10,149	2,213	1,094	13,696	6,190	3,402	1,862	1,414	1,003
2016	양천구	목2동	1,139	4,094	1,928	1,184	525	2,104	998	600	271	206	134
2016	양천구	목3동	1,242	4,644	1,967	1,330	620	2,040	1,003	1,204	308	70	36
2016	양천구	목4동	1,326	3,853	2,127	1,470	729	1,554	873	554	297	275	228
2016	양천구	신월1동	1,775	5,063	2,255	2,022	846	2,105	873	728	360	208	176
2016	양천구	신월2동	1,239	3,984	1,673	1,207	413	2,141	1,032	483	175	153	53
2016	양천구	신월3동	958	4,277	1,715	973	348	2,435	994	542	311	327	62
2016	양천구	신월4동	1,164	3,745	1,369	1,240	478	1,723	601	664	193	118	97
2016	양천구	신월5동	1,010	4,422	1,791	1,056	415	2,505	1,018	635	239	226	119
2016	양천구	신월6동	1,460	3,231	1,025	1,466	228	1,216	577	312	129	237	91
2016	양천구	신월7동	1,391	5,695	1,954	1,425	543	3,632	1,079	495	266	143	66
2016	양천구	신정1동	1,099	4,929	2,618	1,127	561	2,882	1,450	529	269	391	338
2016	양천구	신정2동	1,104	3,612	1,966	1,175	541	1,705	1,028	459	267	273	130
2016	양천구	신정3동	1,882	9,536	3,837	1,843	717	5,649	2,406	1,324	514	720	200
2016	양천구	신정6동	738	5,769	2,935	675	333	4,318	2,144	531	324	245	134
2016	양천구	신정7동	991	4,481	1,998	996	391	2,945	1,226	370	237	170	144
2016	양천구	목5동	1,525	10,258	5,818	1,378	710	7,072	4,186	1,521	776	287	146
2016	양천구	신정4동	3,122	14,941	7,061	3,018	1,280	6,947	3,447	3,235	1,436	1,741	898
2016	강서구	소계	34,662	207,406	93,651	31,795	13,099	138,780	60,977	25,519	12,836	11,312	6,739
2016	강서구	염창동	2,149	15,633	6,041	1,678	746	11,594	4,218	1,722	708	639	369
2016	강서구	등촌1동	1,939	15,729	6,558	1,452	597	11,698	4,609	1,690	689	889	663
2016	강서구	등촌2동	735	3,454	1,638	712	284	2,043	889	479	283	220	182
2016	강서구	등촌3동	2,627	22,329	11,293	1,998	878	15,638	7,647	3,059	2,033	1,634	735
2016	강서구	화곡본동	1,355	4,047	2,274	1,473	646	2,012	1,302	395	228	167	98
2016	강서구	화곡2동	852	2,790	1,464	861	357	1,360	725	482	323	87	59
2016	강서구	화곡3동	1,227	5,360	2,854	1,266	572	2,338	1,342	1,039	385	717	555
2016	강서구	화곡4동	1,444	3,860	1,994	1,594	708	1,640	877	526	339	100	70
2016	강서구	화곡6동	1,850	11,322	5,326	1,788	770	5,950	2,349	2,203	1,000	1,381	1,207
2016	강서구	화곡8동	1,230	3,229	1,665	1,320	582	1,344	705	361	194	204	184
2016	강서구	가양1동	1,809	14,040	5,036	1,345	531	10,153	3,381	1,356	822	1,186	302
2016	강서구	가양2동	640	3,495	1,799	522	211	2,227	1,254	628	270	118	64
2016	강서구	가양3동	933	7,631	3,062	574	177	6,059	2,412	831	384	167	89
2016	강서구	발산1동	2,322	11,966	5,386	2,155	911	7,697	3,328	1,145	611	969	536
2016	강서구	공항동	1,973	35,503	16,085	1,726	731	31,733	14,448	1,660	728	384	178
2016	강서구	방화1동	2,879	10,377	5,049	2,912	1,110	5,617	2,943	1,255	689	593	307
2016	강서구	방화2동	2,932	13,631	5,034	2,621	804	8,594	3,086	2,177	1,045	239	99
2016	강서구	방화3동	932	4,739	2,015	840	295	2,873	1,095	764	504	262	121
2016	강서구	화곡1동	3,126	10,841	5,151	3,295	1,407	4,187	2,321	2,670	991	689	432
